机型,章节号,英文说明,说明,所属章号,章号说明
737-678,54100,zonal inspection program,区域检查,5,时限维护检查
737-678,54200,ezap inspection program,增强型区域检查,5,时限维护检查
737-678,55000,unscheduled maintenance checks,非计划维修检查,5,时限维护检查
737-678,55100,conditional inspections,视情检查,5,时限维护检查
737-678,60000,dimensions and areas,尺寸与区域,6,尺寸与区域
737-678,61000,principal dimensions and areas,主要尺寸和区域,6,尺寸与区域
737-678,62000,station diagrams,站位图,6,尺寸与区域
737-678,62100,body station diagrams,机身站位图,6,尺寸与区域
737-678,62200,vertical fin and rudder station diagram,垂直安定面及方向舵站位图,6,尺寸与区域
737-678,62300,horizontal stabilizer and elevator stati,水平安定面及升降舵站位图,6,尺寸与区域
737-678,62400,wing station diagram,机翼站位图,6,尺寸与区域
737-678,62500,engine and nacelle station diagram,发动机及吊挂站位图,6,尺寸与区域
737-678,63000,zone diagrams,区域图,6,尺寸与区域
737-678,64000,access doors and panels,外部接近门及盖板,6,尺寸与区域
737-678,64100,fuselage (major zones 100 and 200) acces,"机身(区域100,200)接近门及盖板",6,尺寸与区域
737-678,64200,empennage (major zone 300) access doors,尾部(区域300)接近门及盖板,6,尺寸与区域
737-678,64300,cfm 56-7 series engine and nacelle strut,发动机及吊挂(区域400)接近门及盖板,6,尺寸与区域
737-678,64400,wings (major zones 500 and 600) access d,"机翼(区域500,600)接近门及盖板",6,尺寸与区域
737-678,64600,passenger and cargo compartment (major z,"客舱及货舱(区域800)门,接近门及盖板",6,尺寸与区域
737-678,70000,lifting and shoring,顶升及支撑,7,顶升和支撑
737-678,71000,jacking,牵引,7,顶升和支撑
737-678,71100,jack airplane,顶升飞机,7,顶升和支撑
737-678,71200,lifting damaged airplane,顶升受损飞机,7,顶升和支撑
737-678,72000,shoring,支撑,7,顶升和支撑
737-678,80000,leveling and weighing,水平及称重,8, 平衡和称重
737-678,81000,weighing and balancing,载重与平衡,8, 平衡和称重
737-678,81100,weighing,称重,8, 平衡和称重
737-678,82000,leveling,水平,8, 平衡和称重
737-678,82100,leveling,水平,8, 平衡和称重
737-678,90000,towing and taxiing,牵引与滑行,9, 拖机和滑行
737-678,91000,towing,牵引,9, 拖机和滑行
737-678,91100,towing,牵引,9, 拖机和滑行
737-678,92000,taxiing,滑行,9, 拖机和滑行
737-678,100000,"parking, mooring, storage, and return to","停放,系留,存放及恢复使用",10, 停放和系留
737-678,101000,parking / storage,"停放,存放",10, 停放和系留
737-678,101100,normal parking,正常停放,10, 停放和系留
737-678,101200,prolonged parking,长时间停放,10, 停放和系留
737-678,101400,long-term storage,长时间存放,10, 停放和系留
737-678,102000,mooring,系留,10, 停放和系留
737-678,102100,high wind conditions mooring,大风系留,10, 停放和系留
737-678,103000,return to service,恢复使用,10, 停放和系留
737-678,110000,placards and markings,标牌与标志,11, 标牌和标志
737-678,111000,exterior color schemes and markings,外部喷涂方案与标志,11, 标牌和标志
737-678,112000,exterior placards and markings,外部标牌与标志,11, 标牌和标志
737-678,113000,interior placards,内部标牌,11, 标牌和标志
737-678,120000,servicing,勤务,12, 勤务-通用
737-678,121000,replenishing,填充,12, 勤务-通用
737-678,121100,fuel servicing,燃油勤务,12, 勤务-通用
737-678,121200,hydraulic reservoir,液压油箱,12, 勤务-通用
737-678,121300,engine/apu,发动机/apu勤务,12, 勤务-通用
737-678,121400,water replenishing,加水,12, 勤务-通用
737-678,121500,miscellaneous replenishing,其它填充,12, 勤务-通用
737-678,121600,windows,风挡勤务,12, 勤务-通用
737-678,121700,toilet/waste tank,厕所/废水系统勤务,12, 勤务-通用
737-678,122000,lubrication, ,12, 勤务-通用
737-678,122100,landing gear lubrication,起落架润滑,12, 勤务-通用
737-678,122200,flight controls,飞行控制系统润滑,12, 勤务-通用
737-678,122300,utility systems component lubrication,通用系统部件润滑,12, 勤务-通用
737-678,122500,miscellaneous servicing,其它勤务,12, 勤务-通用
737-678,122600,cable lubrication,钢索润滑,12, 勤务-通用
737-678,123000,unscheduled servicing,非计划勤务,12, 勤务-通用
737-678,123200,latches, ,12, 勤务-通用
737-678,123300,weather condition maintenance,气候条件勤务,12, 勤务-通用
737-678,124000,airplane cleaning and polishing,飞机清洁与抛光,12, 勤务-通用
737-678,200000,standard practices - airframe,标准操作-机体,20, 标准施工
737-678,200500,documentation,文件,20, 标准施工
737-678,201000,repair and replacement,修理与更换,20, 标准施工
737-678,201500,data and software,数据与软件,20, 标准施工
737-678,202000,inspection / check,检查,20, 标准施工
737-678,203000,specifications and materials,机身标准材料,20, 标准施工
737-678,204000,grounding,接地,20, 标准施工
737-678,205000,torque values and electrical protection,力矩值及放电保护,20, 标准施工
737-678,206000,electrical / electronics safety and equi,电子/电气安全及设备,20, 标准施工
737-678,210000,air conditioning,空调系统,21, 空调系统
737-678,211000,compression, ,21, 空调系统
737-678,212000,distribution,分配,21, 空调系统
737-678,212100,main air distribution,空气分配与循环,21, 空调系统
737-678,212200,flight compartment conditioned air distr,驾驶舱通风,21, 空调系统
737-678,212300,passenger cabin conditioned air distribu,厕所和厨房通风,21, 空调系统
737-678,212400,gasper air distribution,空气分配,21, 空调系统
737-678,212500,recirculation system,再循环系统,21, 空调系统
737-678,212600,ventilation system,电子设备通风,21, 空调系统
737-678,212700,equipment cooling system,设备冷却系统,21, 空调系统
737-678,213000,pressurization control,增压控制,21, 空调系统
737-678,213100,pressurization control system,增压控制系统,21, 空调系统
737-678,213200,cabin pressure relief,客舱释压,21, 空调系统
737-678,213300,cabin pressure indication and warning sy,客舱压力指示与警告系统,21, 空调系统
737-678,214000,heating,加热,21, 空调系统
737-678,214100,lower lobe heating, ,21, 空调系统
737-678,214300,forward cargo compartment heating system,前货舱加温系统,21, 空调系统
737-678,214400,aft cargo compartment heating system,后货舱加温系统,21, 空调系统
737-678,214500,door area heating system,门区域加温系统,21, 空调系统
737-678,215000,cooling,空调冷却系统,21, 空调系统
737-678,215100,pack flow control and pack cooling syste,组件流量控制与组件冷却系统,21, 空调系统
737-678,215200,pack cooling and mix manifold temperatur,组件冷却与混合总管温度控制,21, 空调系统
737-678,216000,temperature control,温度控制,21, 空调系统
737-678,216100,zone temperature control and indication,区域温度控制与指示,21, 空调系统
737-678,216200,trim air pressure regulation and shutoff,配平空气压力调节与关断控制,21, 空调系统
737-678,217000,moisture/air contaminant control,湿度/空气污染控制,21, 空调系统
737-678,217300,ozone control,臭氧控制,21, 空调系统
737-678,217400,humidity control,湿度控制,21, 空调系统
737-678,217500,air cleaner system,空气清洁系统,21, 空调系统
737-678,220000,auto flight,自动飞行,22, 自动飞行
737-678,221000,autopilot,自动驾驶,22, 自动飞行
737-678,221100,digital flight control system,数字飞行控制系统,22, 自动飞行
737-678,222000,speed-attitude correction,速度-高度校正,22, 自动飞行
737-678,222100,mach trim system,马赫配平系统,22, 自动飞行
737-678,222300,yaw damper system,偏航阻尼系统,22, 自动飞行
737-678,223000,auto throttle,自动油门,22, 自动飞行
737-678,223100,autothrottle system,自动油门系统,22, 自动飞行
737-678,224000,system monitor,系统监控,22, 自动飞行
737-678,225000,aerodynamic load alleviating, ,22, 自动飞行
737-678,230000,communications,通讯,23, 通信系统
737-678,231000,speech communications,语音通讯,23, 通信系统
737-678,231100,high frequency communication system,高频通讯系统,23, 通信系统
737-678,231200,very high frequency  communication syste,甚高频通讯系统,23, 通信系统
737-678,231300,uhf/vhf communication system,超高频/甚高频通讯系统,23, 通信系统
737-678,231400,uhf/vhf mission communication system,超高频/甚高频任务通讯系统,23, 通信系统
737-678,231500,satellite communication system,卫星通讯系统,23, 通信系统
737-678,231600,uhf satellite communication system,特高频卫星通讯系统,23, 通信系统
737-678,231700,vhf-fm radio communication system,甚高频/fm收音通讯系统,23, 通信系统
737-678,231900,air/ground public telephone system,空地公用通话系统,23, 通信系统
737-678,232000,data transmission and automatic calling,数据传输和自动呼叫,23, 通信系统
737-678,232100,mission communication system,任务通讯系统,23, 通信系统
737-678,232200,selcal system,选择呼叫系统,23, 通信系统
737-678,232400,emergency locator transmitter system,应急定位发射系统,23, 通信系统
737-678,232500,satellite communication (satcom) system,卫星通讯系统,23, 通信系统
737-678,232700,aircraft communications addressing and r,飞机通信寻址与报告系统,23, 通信系统
737-678,232800,selcal system,卫星通讯,23, 通信系统
737-678,232900,calsel system, ,23, 通信系统
737-678,233000,"passenger address, entertainment, and co","旅客寻址,广播和娱乐",23, 通信系统
737-678,233100,passenger address system,旅客寻址系统,23, 通信系统
737-678,233200,passenger video system,旅客视频系统,23, 通信系统
737-678,233400,passenger entertainment system,旅客娱乐系统,23, 通信系统
737-678,233500,am radio entertainment system,am收音娱乐系统,23, 通信系统
737-678,233600,data network,数据网络,23, 通信系统
737-678,233800,passenger entertainment customer data,旅客娱乐系统客户数据,23, 通信系统
737-678,234000,interphone,内话,23, 通信系统
737-678,234100,service interphone system,服务内话系统,23, 通信系统
737-678,234200,cabin interphone system,客舱内话系统,23, 通信系统
737-678,234300,ground crew call system,地面机组呼叫系统,23, 通信系统
737-678,235000,audio integrating, ,23, 通信系统
737-678,235100,flight interphone system,飞行内话系统,23, 通信系统
737-678,235300,voice encryption,语音加密,23, 通信系统
737-678,236000,static discharging,静电放电,23, 通信系统
737-678,236100,static dischargers,静电放电刷,23, 通信系统
737-678,237000,audio and video monitoring,音频和视频监控,23, 通信系统
737-678,237100,voice recorder system,话音记录器,23, 通信系统
737-678,237500,video surveillance system,视频监控系统,23, 通信系统
